INFO:     169.254.169.126:15876 - "GET /process_drive?file_id=drive-source-file-id HTTP/1.1" 500 Internal Server Error
Traceback (most recent call last):
  File "/app/src/main.py", line 211, in process_drive
    raise SummarizationError(validation.get('reason') or 'Supervisor rejected summary')
src.errors.SummarizationError: length_below_threshold,content_alignment_low
2025-10-10 20:15:51,647 ERROR api /process_drive stage error: length_below_threshold,content_alignment_low
2025-10-10 20:15:51,646 WARNING supervisor supervisor_flagged
2025-10-10 20:15:51,553 INFO supervisor supervisor_validation_started
2025-10-10 20:15:51,553 INFO summariser summariser_merge_complete
2025-10-10 20:15:51,553 INFO summariser summariser_generation_complete
2025-10-10 20:15:51,553 INFO summariser summariser_chunk_complete
2025-10-10 20:15:51,552 INFO summariser summariser_call_complete
2025-10-10 20:15:51,551 INFO httpx HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 200 OK"
2025-10-10 20:15:49,860 INFO summariser summariser_call_start
2025-10-10 20:15:49,850 INFO summariser summariser_prompt_meta
2025-10-10 20:15:49,850 INFO summariser summariser_chunk_start
2025-10-10 20:15:49,849 INFO summariser summariser_chunk_complete
2025-10-10 20:15:49,849 INFO summariser summariser_call_complete
2025-10-10 20:15:49,847 INFO httpx HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 200 OK"
2025-10-10 20:15:46,996 INFO summariser summariser_call_start
2025-10-10 20:15:46,984 INFO summariser summariser_prompt_meta
2025-10-10 20:15:46,984 INFO summariser summariser_chunk_start
2025-10-10 20:15:46,984 INFO summariser summariser_chunk_complete
2025-10-10 20:15:46,984 INFO summariser summariser_call_complete
2025-10-10 20:15:46,982 INFO httpx HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 200 OK"
2025-10-10 20:15:44,073 INFO summariser summariser_call_start
2025-10-10 20:15:44,063 INFO summariser summariser_prompt_meta
2025-10-10 20:15:44,062 INFO summariser summariser_chunk_start
2025-10-10 20:15:44,062 INFO summariser summariser_chunk_complete
2025-10-10 20:15:44,062 INFO summariser summariser_call_complete
2025-10-10 20:15:44,061 INFO httpx HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 200 OK"
2025-10-10 20:15:42,471 INFO summariser summariser_call_start
2025-10-10 20:15:42,460 INFO summariser summariser_prompt_meta
2025-10-10 20:15:42,460 INFO summariser summariser_chunk_start
2025-10-10 20:15:42,460 INFO summariser summariser_chunk_complete
2025-10-10 20:15:42,459 INFO summariser summariser_call_complete
2025-10-10 20:15:42,458 INFO httpx HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 200 OK"
2025-10-10 20:15:39,348 INFO summariser summariser_call_start
2025-10-10 20:15:39,337 INFO summariser summariser_prompt_meta
2025-10-10 20:15:39,337 INFO summariser summariser_chunk_start
2025-10-10 20:15:39,337 INFO summariser summariser_chunk_complete
2025-10-10 20:15:39,337 INFO summariser summariser_call_complete
2025-10-10 20:15:39,335 INFO httpx HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 200 OK"
2025-10-10 20:15:36,353 INFO summariser summariser_call_start
2025-10-10 20:15:36,343 INFO summariser summariser_prompt_meta
2025-10-10 20:15:36,343 INFO summariser summariser_chunk_start
2025-10-10 20:15:36,342 INFO summariser summariser_chunk_complete
2025-10-10 20:15:36,342 INFO summariser summariser_call_complete
2025-10-10 20:15:36,341 INFO httpx HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 200 OK"
2025-10-10 20:15:34,051 INFO summariser summariser_call_start
2025-10-10 20:15:34,032 INFO summariser summariser_prompt_meta
2025-10-10 20:15:34,032 INFO summariser summariser_chunk_start
2025-10-10 20:15:34,032 INFO summariser summariser_chunk_complete
